Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,1861.000000,1886.900024,1841.099976,1853.050049,1813.808716,8362085
2022-03-22,1850.000000,1890.000000,1839.000000,1887.400024,1847.431274,5709382
2022-03-23,1897.000000,1900.000000,1857.000000,1872.400024,1832.749023,6192824
2022-03-24,1856.150024,1894.599976,1856.150024,1886.699951,1846.746094,3784303
2022-03-25,1892.000000,1894.000000,1858.000000,1876.550049,1836.811157,3438588
2022-03-28,1866.000000,1880.900024,1852.650024,1873.900024,1834.217163,4008555
2022-03-29,1873.900024,1889.400024,1860.550049,1886.000000,1846.060913,3917785
2022-03-30,1910.000000,1919.000000,1895.000000,1903.949951,1863.630737,7795839
2022-03-31,1900.000000,1913.000000,1894.199951,1906.849976,1866.469360,5399145
2022-04-01,1886.849976,1910.300049,1878.300049,1903.550049,1863.239380,6171518
2022-04-04,1889.750000,1893.000000,1873.000000,1882.949951,1843.075439,7364074
2022-04-05,1883.800049,1889.599976,1857.150024,1861.099976,1821.688232,5472024
2022-04-06,1855.000000,1857.500000,1822.150024,1828.849976,1790.121216,5407453
2022-04-07,1821.050049,1828.150024,1807.550049,1811.000000,1772.649170,5797544
2022-04-08,1823.000000,1838.000000,1808.000000,1814.599976,1776.172974,5131446
2022-04-11,1814.000000,1814.000000,1762.550049,1766.550049,1729.140503,8248407
2022-04-12,1757.500000,1757.500000,1727.750000,1742.449951,1705.550781,6456184
2022-04-13,1754.949951,1757.500000,1732.000000,1748.550049,1711.521729,6257693
2022-04-18,1605.500000,1650.000000,1590.000000,1621.400024,1587.064331,30523965
2022-04-19,1636.650024,1636.650024,1550.000000,1562.000000,1528.922119,17044923
2022-04-20,1575.000000,1596.300049,1563.000000,1587.699951,1554.077881,10678747
2022-04-21,1595.000000,1627.199951,1589.250000,1618.800049,1584.519409,7766514
2022-04-22,1604.349976,1610.699951,1582.400024,1585.449951,1551.875488,8134245
2022-04-25,1572.800049,1572.800049,1554.099976,1561.099976,1528.041138,7000570
2022-04-26,1577.199951,1592.000000,1566.550049,1581.000000,1547.519775,5345435
2022-04-27,1572.750000,1572.750000,1550.349976,1552.800049,1519.917114,8819356
2022-04-28,1570.000000,1601.800049,1557.449951,1582.599976,1549.085938,9245177
2022-04-29,1590.000000,1597.300049,1560.800049,1567.550049,1534.354736,9831395
2022-05-02,1550.900024,1552.750000,1531.000000,1541.000000,1508.366943,7072627
2022-05-04,1547.250000,1570.000000,1530.150024,1535.550049,1503.032349,6220959
2022-05-05,1560.050049,1589.400024,1557.449951,1585.150024,1551.582031,6144870
2022-05-06,1550.000000,1561.849976,1535.050049,1542.849976,1510.177612,6171472
2022-05-09,1540.000000,1586.800049,1522.150024,1570.349976,1537.095337,6832202
2022-05-10,1558.000000,1569.150024,1546.050049,1553.000000,1520.112793,6212545
